ID,Sample_type,Lat.ddeg,Lon.ddeg,Site_name,Zone,Cruise_deployed,Date_depolyed.UTC,Dive_deployed,Exp_start_temp.C,Pursed,Cruise_purse_removal,Date_purse_removal,Dive_purse_removal,Cruise_recovered,Date_recovered,Dive_recovered,Recovery_temp.C,Nearby,Biofilm_dev_time.d,Larval_set_time.d,ID.pairs
PM,pursed sandwich,9.84005091,-104.291682,Tica,Riftia,AT42-21,12/29/2019 19:02,A5048,5.35,Y,RR2102,4/1/2021 22:00,J1305,RR2102,4/16/2021 14:45,J1320,2.95,,459,14.69778935,SP3
PO,pursed sandwich,9.84004024,-104.2916494,Tica,Mussel,AT42-21,12/29/2019 18:26,A5048,2.46,Y,RR2102,4/1/2021 20:08,J1305,RR2102,4/16/2021 16:27,J1320,2.12,,459,14.84635417,SP6
PP1,sandwich,9.8400561,-104.2916918,Tica,Riftia,RR2102,4/1/2021 23:07,J1305,6.57,N,NA,NA,NA,RR2102,4/16/2021 14:31,J1320,8.15,PX,NA,14.64143519,SP2
PP10,sandwich,9.8400716,-104.2916531,Tica,Alvinellid,RR2102,4/1/2021 19:23,J1305,2.67,N,NA,NA,NA,RR2102,4/16/2021 17:45,J1320,2.66,PW,NA,14.93202546,SP1
PP11,sandwich,9.84004078,-104.291649,Tica,Mussel,RR2102,4/1/2021 20:12,J1305,2.22,N,NA,NA,NA,RR2102,4/16/2021 16:30,J1320,2.55,PO,NA,14.84569444,SP6
PP12,sandwich,9.84005988,-104.2916493,Tica,Mussel,RR2102,4/1/2021 20:47,J1305,2.63,N,NA,NA,NA,RR2102,4/16/2021 16:48,J1320,2.5,PQ,NA,14.83395833,SP7
PP2,sandwich,9.84005326,-104.2916786,Tica,Riftia,RR2102,4/1/2021 22:02,J1305,2.88,N,NA,NA,NA,RR2102,4/16/2021 14:48,J1320,2.56,PM,NA,14.69880787,SP3
PP3,sandwich,9.84006979,-104.2916483,Tica,Mussel,RR2102,4/1/2021 21:19,J1305,3.06,N,NA,NA,NA,RR2102,4/16/2021 17:18,J1320,2.75,PS,NA,14.83274306,SP4
PP5,sandwich,9.84007776,-104.291622,Tica,Mussel,RR2102,4/1/2021 18:18,J1305,2.16,N,NA,NA,NA,RR2102,4/16/2021 18:27,J1320,1.99,PR,NA,15.00616898,SP5
PQ,pursed sandwich,9.84005997,-104.2916498,Tica,Mussel,AT42-21,12/29/2019 18:28,A5048,2.49,Y,RR2102,4/1/2021 20:46,J1305,RR2102,4/16/2021 16:51,J1320,2.89,,459,14.83659722,SP7
PR,pursed sandwich,9.84008577,-104.2916475,Tica,Mussel,AT42-21,12/29/2019 18:26,A5048,2.22,Y,RR2102,4/1/2021 18:12,J1305,RR2102,4/16/2021 18:46,J1320,2.35,,459,15.02357639,SP5
PS,pursed sandwich,9.84008445,-104.2916465,Tica,Mussel,AT42-21,12/29/2019 18:30,A5048,2.89,Y,RR2102,4/1/2021 21:16,J1305,RR2102,4/16/2021 17:34,J1320,3.17,,459,14.8452662,SP4
PW,pursed sandwich,9.84007938,-104.2916558,Tica,Alvinellid,AT42-21,12/29/2019 18:50,A5048,3.59,Y,RR2102,4/1/2021 19:20,J1305,RR2102,4/16/2021 18:04,J1320,5.56,,459,14.94724537,SP1
PX,pursed sandwich,9.84006011,-104.2916938,Tica,Riftia,AT42-21,12/29/2019 19:08,A5048,13.78,Y,RR2102,4/1/2021 23:18,J1305,RR2102,4/16/2021 14:08,J1320,8.25,,459,14.61811343,SP2
