"","input","filtered","denoisedF","denoisedR","merged"
"PM",333930,312616,305280,301289,267135
"PO",233900,218755,212558,209472,187056
"PP1",353557,332231,327695,325085,288954
"PP10",260708,233204,228454,226253,191871
"PP11",352473,330420,324619,322885,289637
"PP12",313243,281745,277737,275553,244204
"PP3",283391,263239,259851,258251,233886
"PP5",382122,355921,348416,344485,299672
"PQ",289938,243108,235871,234669,193632
"PR",416628,391200,379027,373407,318715
"PW",583570,544306,534138,529389,458041
"PX",351883,326998,321846,320463,290701
