"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"PM",333930,312616,305280,301289,267135,215152
"PO",233900,218755,212558,209472,187056,160410
"PP1",353557,332231,327695,325085,288954,221483
"PP10",260708,233204,228454,226253,191871,160343
"PP11",352473,330420,324619,322885,289637,228766
"PP12",313243,281745,277737,275553,244204,199022
"PP3",283391,263239,259851,258251,233886,196840
"PP5",382122,355921,348416,344485,299672,239740
"PQ",289938,243108,235871,234669,193632,171518
"PR",416628,391200,379027,373407,318715,264678
"PW",583570,544306,534138,529389,458041,302603
"PX",351883,326998,321846,320463,290701,221555
"PP2",673047,608279,599585,593693,516828,352341
